ID,Name,x,y
1,Abbotsford,144.9987183,-37.80249023
2,Abbotsford Primary School,144.9984741,-37.809021
3,After Care Hospital,144.9849243,-37.80792236
4,Albert Park,144.9556885,-37.83789063
5,Albert Park,144.9591064,-37.84069824
6,Albert Park,144.9542847,-37.84307861
7,Albert Park College,144.9475098,-37.84472656
8,Albert Park High School,144.9475098,-37.84429932
9,Albert Park Lake,144.9669189,-37.84729004
10,Albert Park Playing Fields,144.9669189,-37.84729004
11,Albert Park Primary School,144.9520874,-37.8414917
12,Albert Park Sports Centre,144.9671021,-37.83648682
13,Alexandra Gardens,144.9736938,-37.82049561
14,Alexandra House,144.9711304,-37.81439209
15,Alfred Hospital,144.986084,-37.84570313
16,Alma Park East,144.9960938,-37.8604126
17,Alma Park West,144.9938965,-37.8604126
18,Appleton Dock,144.9221191,-37.81762695
19,Ardoch High School,144.998291,-37.85949707
20,Argyle Square,144.9663086,-37.8026123
21,Baker Island,144.9799194,-37.82849121
22,Balaclava,144.9935303,-37.86932373
23,Barbara Bayer Reserve,144.8997192,-37.81262207
24,Bates Reserve,144.8984985,-37.85150146
25,Batman Avenue Bridge,144.9729004,-37.81652832
26,Batman Park,144.9572754,-37.82177734
27,Bayside Secondary College Williamstown Campus,144.8864746,-37.85791016
28,Bayswater Road Park,144.9251099,-37.79229736
29,Ben Alexander Playground,144.998291,-37.81890869
30,Birrarung Marr,144.9727173,-37.81781006
31,Blessington Street Gardens,144.9832764,-37.86901855
32,Bolte Bridge,144.9326782,-37.82757568
33,Bourke Street Docklands,144.946106,-37.81848145
34,Breakwater Pier,144.909729,-37.86431885
35,Broadway Reserve,144.9556885,-37.84069824
36,Burndap Park,144.8997192,-37.78338623
37,Burnley Tunnel,144.9669189,-37.82598877
38,Caddayes Corner,144.9926758,-37.77618408
39,Calder Highway,144.9619141,-37.82720947
40,Carlton,144.9671021,-37.80010986
41,Carlton Gardens,144.9678955,-37.80200195
42,Carlton Magistrates Court,144.9692993,-37.79760742
43,Carlton North,144.9730835,-37.78582764
44,Carlton North,144.9641113,-37.78790283
45,Carlton North Primary School,144.9741211,-37.79071045
46,Carlton Police Station,144.9692993,-37.79760742
47,Carlton Primary School,144.9691162,-37.8012085
48,Central Pier Docklands,144.9447021,-37.81512451
49,Central Pier Wooden Platform,144.9448853,-37.81488037
50,Charles Grimes Bridge,144.9484863,-37.82318115
51,Charles Grimes Reserve,144.9066772,-37.80480957
52,Chinatown Plaza,144.9692993,-37.8112793
53,Church Street Bridge,144.996521,-37.83428955
54,City Magistrates Court,144.9678955,-37.80761719
55,City Square,144.9677124,-37.81561279
56,City West Police Station,144.9598999,-37.80932617
57,Clifton Hill,144.9957275,-37.78900146
58,Clifton Hill,144.9968872,-37.78930664
59,Collingwood,144.9940796,-37.80450439
60,Collingwood,144.9882813,-37.80187988
